Subject,Product,Review
Bastante decente,cc692bcb-2f6e-47f5-a51a-b4200d2d4d74,"Me gustó la mayoría de mis profesores y obtuve mucho de las clases que tomé."
Ambiente acogedor,440cbd38-4fa2-4ee6-9a68-5b8effc78c5e,"La integración de la universidad con la ciudad circundante proporciona muchas oportunidades adicionales que no se obtienen en otras escuelas."
Go 'Lopes!,cc93541b-fcef-4bdd-972d-6e7ba75b16fe,"Me encanta ver los AU Antelopes ganar ganar ganar! ¡No podemos ganar en el fútbol, el baloncesto y el hockey!"
Gran Facultad,063f1bb1-89f3-44d8-86bd-9d5be63009bc,"A pesar de que la escuela es relativamente nueva, la facultad es de primera categoría."
Manejo también,440cbd38-4fa2-4ee6-9a68-5b8effc78c5e,"La oportunidad de aprender otros papeles que podría desempeñar fuera de la ingeniería tradicional me abrió muchas puertas."
Recursos tecnológicos,440cbd38-4fa2-4ee6-9a68-5b8effc78c5e,"Algunos de los ordenadores en los que querían trabajar eran un poco más allá de su apogeo."
Disfruta del Proceso,cc692bcb-2f6e-47f5-a51a-b4200d2d4d74,"Pude trabajar con mi consejero y adaptarme al proceso disponible."
Colaboración,063f1bb1-89f3-44d8-86bd-9d5be63009bc,"Trabajar estrechamente con mis compañeros a través de todas mis clases realmente inculcó el valor del trabajo en equipo."
Exámenes duros,063f1bb1-89f3-44d8-86bd-9d5be63009bc,"Los exámenes pueden ser difíciles y sobrecargados con múltiples respuestas de opción múltiple y tiende a ser un uso excesivo de STATA en la clase."
Desafiante,063f1bb1-89f3-44d8-86bd-9d5be63009bc,"La Universidad de Acquia definitivamente te hace trabajar para este grado. Las actividades sociales y eventos deportivos son grandes aquí, haciendo de Boston y la Universidad un gran lugar para ir a la universidad."
El frío,063f1bb1-89f3-44d8-86bd-9d5be63009bc,"Honestamente, el primer semestre fue un ajuste y aparte del duro invierno que realmente me encanta aquí."
Equilibrado,d504bd40-bd73-4a85-80c1-c0534c8b0913,"Mejor equilibrio de trabajo duro y jugar duro."
Gente asombrosa,d504bd40-bd73-4a85-80c1-c0534c8b0913,Estoy tan contento de haber decidido ir a Michigan! Las personas que he conocido y las experiencias que he tenido hasta ahora han sido increíbles."
No para mí,d504bd40-bd73-4a85-80c1-c0534c8b0913,"No gracias - este programa no era para mí después de todo."
Seguro,06bf6d39-20eb-4d4f-b312-c1d2ccfbf449,"Gran escuela. Casi todos los departamentos están muy bien clasificados. Boston también es muy seguro. Me siento seguro caminando a casa solo por la noche."
No está mal,06bf6d39-20eb-4d4f-b312-c1d2ccfbf449,"Muy buena escuela en general pero nada muy especial."
Gran campus,06bf6d39-20eb-4d4f-b312-c1d2ccfbf449,"Gran campus con gente increíble y oportunidades."
Desafiando pero vale la pena,cc93541b-fcef-4bdd-972d-6e7ba75b16fe,"Super difícil, pero no cambiaría nada. ¡Los que quedan serán Campeones!"
Orgullo,cc93541b-fcef-4bdd-972d-6e7ba75b16fe,"El ambiente, especialmente durante la temporada de fútbol, es el mejor de la nación. Todo el mundo aquí está muy orgulloso de ser un antílope y no tienen miedo de mostrarlo."
Cielo,cc692bcb-2f6e-47f5-a51a-b4200d2d4d74,"Este lugar es el cielo. La gente es inteligente, el campus es hermoso, los equipos deportivos son buenos. ¿Por qué alguien quiere irse?"
