UUID,Title,Link,Menu name,Parent,Weight
04bb3257-6bc2-401a-82f0-a896dd49d986,Academics,internal:/academics,main,,-13
25054c33-a3bc-4b61-9bad-58e6a1291b38,Admissions,internal:/admissions,main,,-12
d3eb6bd1-d229-4c78-8ffa-4e46d2d31ec9,Research,internal:/research,main,,-11
a8d94f6f-ea2b-4a1f-8f04-59f3e27461a4,Campus,internal:/campus,main,,-10
380dba9f-9e62-45fc-9350-26fe27cae066,Athletics,internal:/athletics,main,,-9
1df2f586-dc6d-4632-b56b-2d44be7b4a88,Giving,internal:/giving,main,,-8
c3721a08-8021-4b67-be9c-a206a7d28ab9,Alumni,internal:/alumni,main,,-7
6e2e051a-266d-48de-b3eb-a415a1def299,About,internal:/about,footer,,-1
1b00b4d7-59e9-490c-9413-d3740cdd59f8,Art & Art History,entity:node/cc692bcb-2f6e-47f5-a51a-b4200d2d4d74,main,menu_link_content:04bb3257-6bc2-401a-82f0-a896dd49d986,0
2b00b4d7-59e9-490c-9413-d3740cdd59f8,Chemistry,entity:node/d504bd40-bd73-4a85-80c1-c0534c8b0913,main,menu_link_content:04bb3257-6bc2-401a-82f0-a896dd49d986,1
3b00b4d7-59e9-490c-9413-d3740cdd59f8,Computer Science,entity:node/440cbd38-4fa2-4ee6-9a68-5b8effc78c5e,main,menu_link_content:04bb3257-6bc2-401a-82f0-a896dd49d986,2
4b00b4d7-59e9-490c-9413-d3740cdd59f8,History,entity:node/06bf6d39-20eb-4d4f-b312-c1d2ccfbf449,main,menu_link_content:04bb3257-6bc2-401a-82f0-a896dd49d986,3
5b00b4d7-59e9-490c-9413-d3740cdd59f8,Journalism,entity:node/cc93541b-fcef-4bdd-972d-6e7ba75b16fe,main,menu_link_content:04bb3257-6bc2-401a-82f0-a896dd49d986,4
6b00b4d7-59e9-490c-9413-d3740cdd59f8,Medicine,entity:node/263f1bb1-89f3-44d8-86bd-9d5be63009bc,main,menu_link_content:04bb3257-6bc2-401a-82f0-a896dd49d986,5
